,Unnamed: 0,CustomerID,Age,Gender,IncomeLevel,Country,City,TotalPurchases,AverageOrderValue,CustomerLifetimeValue,EmailEngagementRate,SocialMediaEngagementRate,MobileAppUsage,CustomerServiceInteractions,AverageSatisfactionScore,EmailConversionRate,SocialMediaConversionRate,SearchEngineConversionRate,RepeatCustomer,PremiumMember,HasReturnedItems,FavoriteCategory_Beauty,FavoriteCategory_Books,FavoriteCategory_Clothing,FavoriteCategory_Electronics,FavoriteCategory_Food,FavoriteCategory_Home Goods,FavoriteCategory_Sports,FavoriteCategory_Toys,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
36629,22.0,CUST00023,38,Other,Medium,Other,Other,5,15.38115580674666,285.35485917107513,0.080201899448361,0.2909860720101524,Never,1,7.181997299984871,0.1941446881567091,0.3068387881002117,0.3733882898491444,Yes,Yes,No,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
36630,35.0,CUST00036,19,Prefer not to say,High,Other,Other,0,50.91027368105874,137.64728421104718,0.2440724793676948,0.4337598338253947,Medium,4,6.193836817439457,0.1090012808665496,0.2257242749600801,0.1051624872742861,No,No,No,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
36631,56.0,CUST00057,38,Prefer not to say,Very High,Other,Other,8,198.41306406379633,1644.8195414046477,0.175226597964016,0.290055689403205,Medium,3,7.079840029653172,0.2200105624253345,0.1154208667461436,0.146132347056106,Yes,No,No,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
36632,57.0,CUST00058,37,Other,High,Other,Other,5,54.57820218883417,434.1787563855356,0.3854745862921517,0.0986938507615648,Low,2,7.641602281187485,0.2178389768893512,0.3626742047144752,0.2238933423208999,Yes,No,No,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
36633,63.0,CUST00064,38,Prefer not to say,Low,Other,Other,9,114.05146975447464,1098.8279629318722,0.5366251835879773,0.2262747394629899,Medium,1,4.4098107967620725,0.218931873941805,0.0824293521018745,0.3472608120400309,Yes,Yes,No,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,
36634,77.0,CUST00078,52,Other,Medium,Other,Other,2,15.895431533183029,13.169801193611717,0.2595957766623852,0.1110679795453867,Low,2,7.525814935233432,0.3181630924722946,0.143052109893666,0.2538590052918541,Yes,No,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
36635,78.0,CUST00079,41,Female,Medium,Other,Other,6,22.91022861982313,-39.128380537360385,0.4422150692723284,0.2971350856811137,Never,0,8.263796715894964,0.1591769862942115,0.0788630173328125,0.1850640070870564,Yes,No,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,
36636,98.0,CUST00006,40,Prefer not to say,Low,Other,Other,4,74.69356061807179,258.77718472511856,0.2612602544569136,0.2160353275501315,Medium,1,8.96212051060386,0.1738805897257888,0.1150819318418843,0.1550900511106299,Yes,No,No,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,
36637,103.0,CUST00104,47,Other,Medium,Other,Other,11,32.365325095295304,428.6137822469256,0.3305625669192204,0.0491248631611524,Low,2,8.869261220841143,0.256932411129151,0.2102690625878422,0.2264728300847034,Yes,No,Yes,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,,,,,,,,,,,
36638,106.0,CUST00107,55,Prefer not to say,High,Other,Other,7,138.97652444576536,1268.4440300305043,0.1658423913194437,0.4892318273899022,High,0,6.01917345627455,0.1740777526721006,0.4915924134954945,0.4807509869541574,Yes,No,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
